Pergunta,Resposta
"Eu sou...","I"
"Eu gosto de...","C"
"Se você quiser se dar bem comigo...","A"
"Para conseguir obter bons resultados é preciso...","C"
"Eu me divirto quando...","I"
"Eu penso que...","A"
"Minha preocupação é...","O"
"Eu prefiro...","C"
"Eu gosto de...","A"
"Eu gosto de chegar...","C"
"Um ótimo dia para mim é quando...","C"
"Eu vejo a morte como...","A"
"Minha filosofia de vida é...","A"
"Eu sempre gostei de...","O"
"Eu gosto de mudanças se...","C"
"Não existe nada de errado em...","A"
"Eu gosto de buscar conselhos de...","C"
"Meu lema é...","C"
"Eu gosto de...","O"
"Tempo para mim é...","I"
"Se eu fosse biblionário...","A"
"Eu acredito que...","A"
"Eu acredito também que...","A"
"Eu acredito ainda que...","I"
"Eu penso que...","O"
"Quando tomo decisões:","O"
"Em uma discussão, eu tendo a ser:","O"
"Prefiro trabalhar em um ambiente que seja:","C"
"Minha abordagem para resolver problemas é mais:","O"
"Eu me sinto mais motivado quando:","O"
"Quando comunico ideias ou informações, eu prefiro:","A"
"Em situações de mudança, eu geralmente:","C"
"Minha abordagem para o planejamento é:","O"
"Quando estou sob pressão, eu tendo a:","O"
"Prefiro tarefas que sejam:","A"
"Quando trabalho em equipe, eu:","I"
"Em relação às regras e procedimentos, eu geralmente:","C"
"Quando se trata de detalhes e precisão no trabalho, eu:","O"
"Minha abordagem para conflitos é:","A"
"Quando preciso aprender algo novo, eu:","I"
"Minha abordagem para a gestão do tempo é:","O"
"Quando se trata de liderança, eu:","O"
"Minha maneira de lidar com informações novas é:","O"
"Em relação à tomada de riscos, eu:","A"
"Minha abordagem para inovação e novas ideias é:","O"
"Quando estou em uma posição de autoridade, eu prefiro:","C"
"Quando me deparo com um desafio:","O"
"Em um projeto de equipe, eu geralmente:","I"
"Meu estilo de trabalho é melhor descrito como:","C"
"Quando enfrento um problema, eu prefiro:","A"
