Pergunta,Resposta
"Eu sou...","A"
"Eu gosto de...","I"
"Se você quiser se dar bem comigo...","C"
"Para conseguir obter bons resultados é preciso...","A"
"Eu me divirto quando...","C"
"Eu penso que...","O"
"Minha preocupação é...","A"
"Eu prefiro...","O"
"Eu gosto de...","C"
"Eu gosto de chegar...","C"
"Um ótimo dia para mim é quando...","I"
"Eu vejo a morte como...","A"
"Minha filosofia de vida é...","C"
"Eu sempre gostei de...","I"
"Eu gosto de mudanças se...","I"
"Não existe nada de errado em...","O"
"Eu gosto de buscar conselhos de...","A"
"Meu lema é...","I"
"Eu gosto de...","O"
"Tempo para mim é...","A"
"Se eu fosse biblionário...","I"
"Eu acredito que...","I"
"Eu acredito também que...","C"
"Eu acredito ainda que...","O"
"Eu penso que...","O"
"Quando tomo decisões:","A"
"Em uma discussão, eu tendo a ser:","C"
"Prefiro trabalhar em um ambiente que seja:","O"
"Minha abordagem para resolver problemas é mais:","A"
"Eu me sinto mais motivado quando:","A"
"Quando comunico ideias ou informações, eu prefiro:","I"
"Em situações de mudança, eu geralmente:","C"
"Minha abordagem para o planejamento é:","O"
"Quando estou sob pressão, eu tendo a:","I"
"Prefiro tarefas que sejam:","A"
"Quando trabalho em equipe, eu:","I"
"Em relação às regras e procedimentos, eu geralmente:","I"
"Quando se trata de detalhes e precisão no trabalho, eu:","I"
"Minha abordagem para conflitos é:","A"
"Quando preciso aprender algo novo, eu:","C"
"Minha abordagem para a gestão do tempo é:","A"
"Quando se trata de liderança, eu:","I"
"Minha maneira de lidar com informações novas é:","A"
"Em relação à tomada de riscos, eu:","C"
"Minha abordagem para inovação e novas ideias é:","O"
"Quando estou em uma posição de autoridade, eu prefiro:","I"
"Quando me deparo com um desafio:","A"
"Em um projeto de equipe, eu geralmente:","O"
"Meu estilo de trabalho é melhor descrito como:","O"
"Quando enfrento um problema, eu prefiro:","O"
