Pergunta,Resposta
"Eu sou...","O"
"Eu gosto de...","I"
"Se você quiser se dar bem comigo...","C"
"Para conseguir obter bons resultados é preciso...","A"
"Eu me divirto quando...","I"
"Eu penso que...","C"
"Minha preocupação é...","A"
"Eu prefiro...","C"
"Eu gosto de...","I"
"Eu gosto de chegar...","C"
"Um ótimo dia para mim é quando...","I"
"Eu vejo a morte como...","C"
"Minha filosofia de vida é...","I"
"Eu sempre gostei de...","A"
"Eu gosto de mudanças se...","I"
"Não existe nada de errado em...","I"
"Eu gosto de buscar conselhos de...","C"
"Meu lema é...","O"
"Eu gosto de...","A"
"Tempo para mim é...","C"
"Se eu fosse biblionário...","O"
"Eu acredito que...","C"
"Eu acredito também que...","I"
"Eu acredito ainda que...","C"
"Eu penso que...","O"
"Quando tomo decisões:","A"
"Em uma discussão, eu tendo a ser:","I"
"Prefiro trabalhar em um ambiente que seja:","C"
"Minha abordagem para resolver problemas é mais:","C"
"Eu me sinto mais motivado quando:","I"
"Quando comunico ideias ou informações, eu prefiro:","A"
"Em situações de mudança, eu geralmente:","C"
"Minha abordagem para o planejamento é:","C"
"Quando estou sob pressão, eu tendo a:","I"
"Prefiro tarefas que sejam:","A"
"Quando trabalho em equipe, eu:","I"
"Em relação às regras e procedimentos, eu geralmente:","C"
"Quando se trata de detalhes e precisão no trabalho, eu:","I"
"Minha abordagem para conflitos é:","A"
"Quando preciso aprender algo novo, eu:","O"
"Minha abordagem para a gestão do tempo é:","I"
"Quando se trata de liderança, eu:","I"
"Minha maneira de lidar com informações novas é:","I"
"Em relação à tomada de riscos, eu:","O"
"Minha abordagem para inovação e novas ideias é:","I"
"Quando estou em uma posição de autoridade, eu prefiro:","C"
"Quando me deparo com um desafio:","O"
"Em um projeto de equipe, eu geralmente:","O"
"Meu estilo de trabalho é melhor descrito como:","C"
"Quando enfrento um problema, eu prefiro:","A"
