Pergunta,Resposta
"Eu sou...","I"
"Eu gosto de...","C"
"Se você quiser se dar bem comigo...","O"
"Para conseguir obter bons resultados é preciso...","I"
"Eu me divirto quando...","A"
"Eu penso que...","C"
"Minha preocupação é...","O"
"Eu prefiro...","O"
"Eu gosto de...","C"
"Eu gosto de chegar...","O"
"Um ótimo dia para mim é quando...","C"
"Eu vejo a morte como...","O"
"Minha filosofia de vida é...","A"
"Eu sempre gostei de...","I"
"Eu gosto de mudanças se...","A"
"Não existe nada de errado em...","C"
"Eu gosto de buscar conselhos de...","C"
"Meu lema é...","I"
"Eu gosto de...","C"
"Tempo para mim é...","I"
"Se eu fosse biblionário...","A"
"Eu acredito que...","A"
"Eu acredito também que...","O"
"Eu acredito ainda que...","I"
"Eu penso que...","A"
"Quando tomo decisões:","O"
"Em uma discussão, eu tendo a ser:","I"
"Prefiro trabalhar em um ambiente que seja:","C"
"Minha abordagem para resolver problemas é mais:","O"
"Eu me sinto mais motivado quando:","I"
"Quando comunico ideias ou informações, eu prefiro:","C"
"Em situações de mudança, eu geralmente:","O"
"Minha abordagem para o planejamento é:","C"
"Quando estou sob pressão, eu tendo a:","C"
"Prefiro tarefas que sejam:","O"
"Quando trabalho em equipe, eu:","C"
"Em relação às regras e procedimentos, eu geralmente:","A"
"Quando se trata de detalhes e precisão no trabalho, eu:","A"
"Minha abordagem para conflitos é:","O"
"Quando preciso aprender algo novo, eu:","O"
"Minha abordagem para a gestão do tempo é:","C"
"Quando se trata de liderança, eu:","A"
"Minha maneira de lidar com informações novas é:","A"
"Em relação à tomada de riscos, eu:","C"
"Minha abordagem para inovação e novas ideias é:","A"
"Quando estou em uma posição de autoridade, eu prefiro:","C"
"Quando me deparo com um desafio:","C"
"Em um projeto de equipe, eu geralmente:","A"
"Meu estilo de trabalho é melhor descrito como:","C"
"Quando enfrento um problema, eu prefiro:","C"
