id,questao,opcao_a,opcao_b
1,"Em uma festa, você geralmente...",Interage com muitas pessoas diferentes,Interage com poucas pessoas que conhece bem
2,"Você se considera mais...",Realista e prático,Imaginativo e inovador
3,"É pior ser...",Injusto com os outros,Impiedoso nas decisões
4,"Você costuma ser mais...",Imparcial e objetivo,Compreensivo e pessoal
5,"Em um grupo, você tende a...",Iniciar conversas,Esperar ser abordado
6,"Você prefere...",Eventos planejados com antecedência,Eventos espontâneos e flexíveis
7,"Ao tomar decisões importantes, você se baseia mais em...",Lógica e fatos concretos,Valores e sentimentos pessoais
8,"Em relação a compromissos, você é mais...",Pontual e organizado,Relaxado e flexível com horários
9,"Em reuniões, você prefere...",Participar ativamente e expressar opiniões,Observar e escutar os outros
10,"Você se interessa mais por...",Realidade presente e experiências concretas,Possibilidades futuras e ideias abstratas
11,"Ao julgar outros, você é mais...",Objetivo e impessoal,Compreensivo e empático
12,"Ao trabalhar em projetos, você prefere...",Seguir um cronograma definido,Ser flexível com prazos
13,"Em conversas telefônicas, você...",Inicia a maioria das ligações,Espera os outros ligarem
14,"O que mais te atrai...",Fatos precisos e dados concretos,Teorias e conceitos abstratos
15,"Ao ajudar alguém, você tende a...",Sugerir soluções práticas e diretas,Oferecer apoio emocional e compreensão
16,"Você prefere que as coisas sejam...",Bem organizadas e estruturadas,Flexíveis e adaptáveis
17,"Em grupos sociais, você geralmente...",Apresenta pessoas umas às outras,Espera ser apresentado
18,"Você se considera mais...",Prático e orientado a resultados,Conceitual e orientado a ideias
19,"Ao tomar decisões, você tende a ser mais...",Justo e lógico,Compreensivo e empático
20,"Seu estilo de trabalho é mais...",Estruturado e metódico,Flexível e adaptativo
21,"Em situações novas, você prefere...",Mergulhar direto na experiência,Observar e analisar primeiro
22,"Ao ler, você prefere...",Livros que descrevem situações reais,Livros que exploram ideias abstratas
23,"Em um conflito, você tende a...",Buscar uma solução lógica e justa,Considerar os sentimentos envolvidos
24,"No trabalho, você prefere...",Seguir procedimentos estabelecidos,Criar novos métodos
25,"Em conversas, você geralmente...",Fala mais que escuta,Escuta mais que fala
26,"Você se sente mais confortável com...",Rotinas e padrões definidos,Mudanças e variedade
27,"Na resolução de problemas, você confia mais em...",Experiência prática e dados,Intuição e impressões
28,"Você prefere...",Ter um plano definido,Deixar as coisas acontecerem
29,"Em eventos sociais, você tende a...",Conhecer novas pessoas,Conversar com conhecidos
30,"Você valoriza mais...",O que é real e tangível,O que é possível e imaginativo
31,"Ao avaliar situações, você prioriza...",Fatos e evidências objetivas,Impacto nas pessoas envolvidas
32,"Na organização do dia a dia, você...",Segue uma programação,Improvisa conforme necessário
33,"Você se energiza mais...",Estando com outras pessoas,Tendo tempo sozinho
34,"Você prefere trabalhar com...",Informações concretas e específicas,Conceitos e possibilidades
35,"Ao tomar decisões em grupo, você enfatiza...",Análise lógica e objetiva,Harmonia e consenso
36,"Você se sente melhor quando...",Tudo está planejado,Há espaço para improvisação
37,"Em uma festa, você geralmente...",Fica até tarde, ganhando energia,Sai cedo, sentindo-se cansado
38,"Você é mais...",Prático e realista,Imaginativo e inovador
39,"É mais importante ser...",Lógico e racional,Compassivo e compreensivo
40,"Você prefere situações...",Controladas e previsíveis,Espontâneas e variadas
41,"Em grupo, você tende a...",Compartilhar pensamentos facilmente,Manter pensamentos para si
