id,questao,opcao_d,opcao_i,opcao_s,opcao_c
1,"Em uma situação de trabalho, eu geralmente sou...",Direto e decisivo,Interativo e amigável,Estável e paciente,Cauteloso e preciso
2,"Quando lido com problemas, eu...",Tomo ação imediata,Envolvo outras pessoas,Mantenho a calma,Analiso cuidadosamente
3,"Em grupo, eu tendo a...",Liderar e dirigir,Socializar e motivar,Apoiar e harmonizar,Planejar e organizar
4,"Sob pressão, eu posso me tornar...",Impaciente e dominante,Impulsivo e expressivo,Resistente a mudanças,Crítico e detalhista
5,"Minhas decisões são baseadas em...",Resultados,Relacionamentos,Consenso,Dados e fatos
6,"Ao enfrentar desafios, eu prefiro...",Agir rapidamente,Inspirar outros,Manter estabilidade,Analisar opções
7,"Em projetos, minha principal contribuição é...",Estabelecer metas,Gerar entusiasmo,Criar harmonia,Garantir qualidade
8,"Quando trabalho em equipe, eu...",Assumo a liderança,Motivo o grupo,Apoio os colegas,Organizo processos
9,"Minha abordagem para resolver problemas é...",Direta e objetiva,Criativa e colaborativa,Ponderada e paciente,Sistemática e detalhada
10,"Em situações de conflito, eu...",Enfrento diretamente,Busco conciliação,Evito confrontos,Analiso as causas
11,"Ao comunicar ideias, eu prefiro ser...",Conciso e direto,Expressivo e animado,Diplomático e gentil,Preciso e detalhado
12,"Meu estilo de trabalho é...",Focado em resultados,Focado em pessoas,Focado em cooperação,Focado em precisão
13,"Em reuniões, eu geralmente...",Conduzo a discussão,Estimulo a participação,Ouço atentamente,Analiso informações
14,"Quando recebo feedback, prefiro que seja...",Direto e objetivo,Positivo e motivador,Construtivo e gentil,Específico e detalhado
15,"Ao lidar com mudanças, eu...",Inicio a ação,Promovo o entusiasmo,Mantenho a estabilidade,Avalio os impactos
16,"Minha principal força é...",Alcançar resultados,Influenciar pessoas,Manter harmonia,Garantir precisão
17,"Em discussões, eu tendo a ser...",Assertivo e direto,Persuasivo e otimista,Paciente e compreensivo,Lógico e sistemático
18,"Quando tomo decisões, eu...",Decido rapidamente,Considero o impacto nas pessoas,Busco consenso,Analiso todas as opções
19,"No ambiente de trabalho, eu valorizo...",Eficiência,Interação social,Cooperação,Organização
20,"Ao gerenciar projetos, eu foco em...",Resultados rápidos,Motivação da equipe,Colaboração,Processos
21,"Em situações novas, eu...",Tomo a iniciativa,Socializo facilmente,Mantenho a rotina,Avalio os riscos
22,"Minha principal preocupação é...",Atingir objetivos,Manter relacionamentos,Garantir estabilidade,Evitar erros
23,"Ao resolver conflitos, prefiro...",Ser direto e claro,Ser diplomático,Buscar acordo,Seguir regras
24,"Em trabalho em equipe, eu priorizo...",Liderança,Comunicação,Cooperação,Organização
25,"Quando sob pressão, eu...",Tomo decisões rápidas,Mantenho o otimismo,Busco apoio,Foco nos detalhes
26,"Meu estilo de comunicação é...",Direto e breve,Expressivo e informal,Amigável e paciente,Formal e preciso
27,"Ao implementar mudanças, eu...",Ajo rapidamente,Promovo entusiasmo,Mantenho estabilidade,Planejo cuidadosamente
28,"Em projetos longos, eu...",Mantenho o foco no objetivo,Mantenho o grupo motivado,Mantenho a consistência,Mantenho a qualidade
29,"Quando recebo tarefas, eu prefiro...",Começar imediatamente,Trabalhar em grupo,Seguir instruções,Entender todos os detalhes
30,"Em apresentações, eu tendo a...",Ser breve e objetivo,Ser animado e persuasivo,Ser calmo e organizado,Ser preciso e detalhado
31,"Ao lidar com prazos, eu...",Cumpro antes do tempo,Mantenho flexibilidade,Sigo o cronograma,Verifico cada etapa
32,"Em situações de crise, eu...",Tomo ação imediata,Mantenho o otimismo,Permaneço calmo,Analiso a situação
33,"Minha abordagem para tarefas é...",Direta e rápida,Criativa e flexível,Metódica e constante,Estruturada e precisa
34,"Em negociações, eu...",Busco resultados rápidos,Construo relacionamentos,Mantenho harmonia,Analiso propostas
35,"Ao receber críticas, eu...",Respondo rapidamente,Expresso sentimentos,Evito confrontos,Analiso feedback
36,"Em trabalhos em grupo, prefiro...",Liderar a equipe,Animar o grupo,Apoiar colegas,Organizar atividades
37,"Quando explico algo, eu sou...",Breve e direto,Entusiasta e informal,Paciente e detalhado,Sistemático e preciso
38,"Ao resolver problemas, eu...",Ajo rapidamente,Envolvo outros,Mantenho a calma,Analiso dados
39,"Em reuniões longas, eu...",Foco nos resultados,Mantenho a energia,Ouço pacientemente,Tomo notas detalhadas
40,"Minha principal motivação é...",Alcançar metas,Influenciar pessoas,Ajudar outros,Garantir qualidade
41,"Em debates, eu tendo a...",Argumentar firmemente,Ser persuasivo,Buscar consenso,Apresentar fatos
42,"Ao planejar projetos, eu...",Defino metas claras,Promovo ideias novas,Considero a equipe,Crio processos
43,"Em situações tensas, eu...",Enfrento diretamente,Alivio a tensão,Mantenho a calma,Analiso causas
44,"Ao delegar tarefas, eu...",Dou direções claras,Motivo a equipe,Ofereço suporte,Forneço detalhes
45,"Em discussões em grupo, eu...",Mantenho o foco,Estimulo participação,Promovo harmonia,Verifico fatos
46,"Quando inicio projetos, eu...",Estabeleço objetivos,Gero entusiasmo,Construo consenso,Planejo detalhes
47,"Em situações de mudança, eu...",Lidero a mudança,Promovo adaptação,Mantenho estabilidade,Avalio impactos
48,"Ao trabalhar em equipe, valorizo...",Resultados rápidos,Criatividade,Cooperação,Precisão
49,"Em momentos decisivos, eu...",Ajo com firmeza,Considero pessoas,Busco estabilidade,Analiso opções
50,"Minha principal contribuição é...",Alcançar metas,Motivar pessoas,Criar harmonia,Garantir qualidade
