Pergunta,Resposta
"Eu sou...","C"
"Eu gosto de...","I"
"Se você quiser se dar bem comigo...","I"
"Para conseguir obter bons resultados é preciso...","C"
"Eu me divirto quando...","C"
"Eu penso que...","I"
"Minha preocupação é...","O"
"Eu prefiro...","I"
"Eu gosto de...","C"
"Eu gosto de chegar...","C"
"Um ótimo dia para mim é quando...","C"
"Eu vejo a morte como...","I"
"Minha filosofia de vida é...","C"
"Eu sempre gostei de...","C"
"Eu gosto de mudanças se...","I"
"Não existe nada de errado em...","I"
"Eu gosto de buscar conselhos de...","A"
"Meu lema é...","C"
"Eu gosto de...","C"
"Tempo para mim é...","A"
"Se eu fosse biblionário...","I"
"Eu acredito que...","A"
"Eu acredito também que...","C"
"Eu acredito ainda que...","O"
"Eu penso que...","O"
"Quando tomo decisões:","O"
"Em uma discussão, eu tendo a ser:","A"
"Prefiro trabalhar em um ambiente que seja:","C"
"Minha abordagem para resolver problemas é mais:","C"
"Eu me sinto mais motivado quando:","C"
"Quando comunico ideias ou informações, eu prefiro:","O"
"Em situações de mudança, eu geralmente:","I"
"Minha abordagem para o planejamento é:","C"
"Quando estou sob pressão, eu tendo a:","I"
"Prefiro tarefas que sejam:","C"
"Quando trabalho em equipe, eu:","I"
"Em relação às regras e procedimentos, eu geralmente:","C"
"Quando se trata de detalhes e precisão no trabalho, eu:","O"
"Minha abordagem para conflitos é:","A"
"Quando preciso aprender algo novo, eu:","C"
"Minha abordagem para a gestão do tempo é:","I"
"Quando se trata de liderança, eu:","I"
"Minha maneira de lidar com informações novas é:","A"
"Em relação à tomada de riscos, eu:","I"
"Minha abordagem para inovação e novas ideias é:","O"
"Quando estou em uma posição de autoridade, eu prefiro:","C"
"Quando me deparo com um desafio:","A"
"Em um projeto de equipe, eu geralmente:","C"
"Meu estilo de trabalho é melhor descrito como:","C"
"Quando enfrento um problema, eu prefiro:","C"
