Pergunta,Resposta
"Eu sou...","I"
"Eu gosto de...","C"
"Se você quiser se dar bem comigo...","O"
"Para conseguir obter bons resultados é preciso...","O"
"Eu me divirto quando...","I"
"Eu penso que...","O"
"Minha preocupação é...","O"
"Eu prefiro...","O"
"Eu gosto de...","C"
"Eu gosto de chegar...","O"
"Um ótimo dia para mim é quando...","I"
"Eu vejo a morte como...","A"
"Minha filosofia de vida é...","C"
"Eu sempre gostei de...","I"
"Eu gosto de mudanças se...","I"
"Não existe nada de errado em...","I"
"Eu gosto de buscar conselhos de...","O"
"Meu lema é...","I"
"Eu gosto de...","A"
"Tempo para mim é...","A"
"Se eu fosse biblionário...","C"
"Eu acredito que...","C"
"Eu acredito também que...","I"
"Eu acredito ainda que...","O"
"Eu penso que...","O"
"Quando tomo decisões:","A"
"Em uma discussão, eu tendo a ser:","O"
"Prefiro trabalhar em um ambiente que seja:","O"
"Minha abordagem para resolver problemas é mais:","O"
"Eu me sinto mais motivado quando:","O"
"Quando comunico ideias ou informações, eu prefiro:","O"
"Em situações de mudança, eu geralmente:","O"
"Minha abordagem para o planejamento é:","I"
"Quando estou sob pressão, eu tendo a:","A"
"Prefiro tarefas que sejam:","O"
"Quando trabalho em equipe, eu:","I"
"Em relação às regras e procedimentos, eu geralmente:","C"
"Quando se trata de detalhes e precisão no trabalho, eu:","I"
"Minha abordagem para conflitos é:","C"
"Quando preciso aprender algo novo, eu:","O"
"Minha abordagem para a gestão do tempo é:","C"
"Quando se trata de liderança, eu:","C"
"Minha maneira de lidar com informações novas é:","O"
"Em relação à tomada de riscos, eu:","O"
"Minha abordagem para inovação e novas ideias é:","O"
"Quando estou em uma posição de autoridade, eu prefiro:","A"
"Quando me deparo com um desafio:","C"
"Em um projeto de equipe, eu geralmente:","C"
"Meu estilo de trabalho é melhor descrito como:","O"
"Quando enfrento um problema, eu prefiro:","O"
