Pergunta,Resposta
"Eu sou...","I"
"Eu gosto de...","C"
"Se você quiser se dar bem comigo...","I"
"Para conseguir obter bons resultados é preciso...","C"
"Eu me divirto quando...","C"
"Eu penso que...","A"
"Minha preocupação é...","C"
"Eu prefiro...","A"
"Eu gosto de...","O"
"Eu gosto de chegar...","O"
"Um ótimo dia para mim é quando...","C"
"Eu vejo a morte como...","I"
"Minha filosofia de vida é...","C"
"Eu sempre gostei de...","A"
"Eu gosto de mudanças se...","C"
"Não existe nada de errado em...","C"
"Eu gosto de buscar conselhos de...","C"
"Meu lema é...","O"
"Eu gosto de...","I"
"Tempo para mim é...","C"
"Se eu fosse biblionário...","O"
"Eu acredito que...","A"
"Eu acredito também que...","O"
"Eu acredito ainda que...","O"
"Eu penso que...","O"
"Quando tomo decisões:","A"
"Em uma discussão, eu tendo a ser:","I"
"Prefiro trabalhar em um ambiente que seja:","C"
"Minha abordagem para resolver problemas é mais:","A"
"Eu me sinto mais motivado quando:","A"
"Quando comunico ideias ou informações, eu prefiro:","C"
"Em situações de mudança, eu geralmente:","C"
"Minha abordagem para o planejamento é:","C"
"Quando estou sob pressão, eu tendo a:","C"
"Prefiro tarefas que sejam:","C"
"Quando trabalho em equipe, eu:","O"
"Em relação às regras e procedimentos, eu geralmente:","C"
"Quando se trata de detalhes e precisão no trabalho, eu:","C"
"Minha abordagem para conflitos é:","I"
"Quando preciso aprender algo novo, eu:","C"
"Minha abordagem para a gestão do tempo é:","C"
"Quando se trata de liderança, eu:","O"
"Minha maneira de lidar com informações novas é:","A"
"Em relação à tomada de riscos, eu:","A"
"Minha abordagem para inovação e novas ideias é:","A"
"Quando estou em uma posição de autoridade, eu prefiro:","A"
"Quando me deparo com um desafio:","A"
"Em um projeto de equipe, eu geralmente:","C"
"Meu estilo de trabalho é melhor descrito como:","C"
"Quando enfrento um problema, eu prefiro:","O"
